pt_root_id,strategy,cell_type,Exc/Inh,num_synapses
864691136674327431,axon_partially_extended,L3b,Exc,590
864691136991359893,axon_partially_extended,L3b,Exc,290
864691135473464114,axon_partially_extended,L3b,Exc,661
864691135335937513,axon_partially_extended,L3b,Exc,484
864691136488742418,axon_partially_extended,L3b,Exc,213
864691135591687691,axon_partially_extended,L3b,Exc,285
864691137055367798,axon_partially_extended,L3b,Exc,315
864691135763593014,axon_partially_extended,L3b,Exc,143
864691134941495395,axon_partially_extended,L3b,Exc,377
864691136033226939,axon_partially_extended,L3b,Exc,509
864691136033227451,axon_partially_extended,L3b,Exc,464
864691135430290480,axon_partially_extended,L3b,Exc,602
864691135741930603,axon_partially_extended,L3b,Exc,454
864691135157210468,axon_partially_extended,L3b,Exc,1096
864691135996177834,axon_partially_extended,L3b,Exc,445
864691134966005023,axon_partially_extended,L3b,Exc,880
864691135595037739,axon_partially_extended,L3b,Exc,889
864691136488821266,axon_partially_extended,L3b,Exc,648
864691135576881950,axon_partially_extended,L3b,Exc,725
864691135519240586,axon_partially_extended,L3b,Exc,508
864691135976050799,axon_partially_extended,L3b,Exc,463
864691134966014495,axon_partially_extended,L3b,Exc,612
864691135782542416,axon_partially_extended,L3b,Exc,621
864691135578197509,axon_partially_extended,L3b,Exc,300
864691135927258126,axon_partially_extended,L4a,Exc,387
864691136419944087,axon_partially_extended,L4a,Exc,679
864691135591664907,axon_partially_extended,L4a,Exc,501
864691135395617525,axon_partially_extended,L4a,Exc,702
864691136195566294,axon_partially_extended,L4a,Exc,639
864691135725842603,axon_partially_extended,L4a,Exc,716
864691135941300993,axon_partially_extended,L4a,Exc,568
864691136021865976,axon_partially_extended,L4a,Exc,570
864691135990004992,axon_partially_extended,L4a,Exc,671
864691135916843366,axon_partially_extended,L4a,Exc,714
864691135576872222,axon_partially_extended,L4a,Exc,684
864691135865669246,axon_partially_extended,L4a,Exc,409
864691135941112486,axon_partially_extended,L4a,Exc,923
864691135941112998,axon_partially_extended,L4a,Exc,464
864691136012637859,axon_partially_extended,L4a,Exc,659
